selected_rank,product_category_name_english,item_price_revenue,freight_value,orders,items,avg_review_score,late_rate,avg_freight_per_item,aov_item_price,weighted_objective,revenue_share,cumulative_revenue_share
1,health_beauty,1233131.72,178957.81,8647,9465,4.189729135644899,0.09054410987849974,18.907322768092975,142.60803978258355,5166487.895371907,0.09326717061414759,0.09326717061414759
2,watches_gifts,1166176.98,98156.14,5495,5859,4.071711092003439,0.08277863116572794,16.75305342208568,212.225110100091,4748335.744705073,0.0882030894152584,0.18147026002940597
3,bed_bath_table,1023434.76,201774.5,9272,10953,3.923968239313083,0.08399525244225327,18.42184789555373,110.37907247627265,4015925.4932490075,0.07740686807843139,0.25887712810783736
4,sports_leisure,954852.55,163404.36,7530,8431,4.165492957746479,0.07413118254062388,19.38137350255011,126.8064475431607,3977431.572711268,0.07221969417200938,0.3310968222798467
5,computers_accessories,888724.61,143999.16,6530,7644,3.986461619348055,0.07770800627943485,18.838194662480376,136.09871516079633,3542866.5479350686,0.06721814749024685,0.39831496977009356
6,furniture_decor,711927.6900000001,168402.23,6307,8160,3.9537747524752476,0.08431372549019608,20.637528186274512,112.87897415570002,2814801.726310025,0.053846219549170286,0.45216118931926386
7,cool_stuff,610204.1,81476.79,3559,3718,4.194903767958796,0.06750941366325981,21.914144701452393,171.4538072492273,2559747.478313906,0.04615241744341178,0.5448763097845346
8,housewares,615628.69,142763.56,5743,6795,4.107904085257549,0.06490066225165562,21.010089771891096,107.19635904579486,2528943.610652753,0.046562703021858984,0.49872389234112285
9,auto,578966.65,90488.1,3810,4140,4.116003903391071,0.08285024154589372,21.85702898550725,151.95975065616798,2383028.9913332523,0.043789791836229365,0.5886661016207639
10,toys,471286.48,75774.58,3804,4030,4.208927231807952,0.07419354838709677,18.8026253101737,123.89234490010514,1983610.4996549136,0.035645467410651846,0.6243115690314158
