purchase_month,delivered_orders,payment_revenue,item_price_revenue,late_rate,avg_review_score
2016-09,1,0.0,134.97,1.0,1.0
2016-10,265,46566.71,40325.11,0.011320754716981131,4.011450381679389
2016-12,1,19.62,10.9,0.0,5.0
2017-01,750,127545.67,111798.36,0.030666666666666665,4.199055330634278
2017-02,1653,271298.65,234223.4,0.03206291591046582,4.202678027997566
2017-03,2546,414369.39,359198.85,0.05577376276512176,4.187376335575782
2017-04,2303,390952.18,340669.68,0.07859313938341293,4.137554585152839
2017-05,3546,567066.73,489338.25,0.03609701071630006,4.238487777146106
2017-06,3135,490225.6,421923.37,0.03859649122807018,4.222918675666988
2017-07,3872,566403.93,481604.52,0.034349173553719005,4.258415755682805
2017-08,4193,646000.61,554699.7,0.03315048891008824,4.3115246098439375
2017-09,4150,701169.99,607399.67,0.052048192771084335,4.267484215638659
2017-10,4478,751140.27,648247.65,0.05292541313086199,4.205240665766982
2017-11,7289,1153528.05,987765.37,0.14309233090958978,3.988878143133462
2017-12,5513,843199.17,726033.1900000001,0.08380192272809722,4.0895440395531955
2018-01,7069,1078606.86,924645.0,0.06563870420144292,4.108726650506203
2018-02,6555,966510.88,826437.13,0.15987795575896263,3.881717125147277
2018-03,7003,1120678.0,953356.25,0.21362273311437954,3.8132556131260795
2018-04,6798,1132933.95,973534.09,0.05310385407472786,4.2062351895734595
2018-05,6749,1128836.69,977544.6900000001,0.08238257519632539,4.236239214519488
2018-06,6099,1012090.68,856077.86,0.013608788325955074,4.306995884773663
2018-07,6159,1027903.86,867953.46,0.044812469556746226,4.318085280182976
2018-08,6351,985414.28,838576.64,0.10392064241851677,4.3103475513428124
